Source,Chr,Position,Target,Chr,Position,Conditioning.Marker,Chr,Position,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
Sgce_B,6,4.710777,Med19_B,2,84.683308,NA,NA,NA,-1.11322471910625,0.140777012474982,7.9077166046842,0,0
Irx2_B,13,72.631508,Dgcr8_B,16,18.271598,NA,NA,NA,-1.03782219071779,0.131937773755068,7.86599744091805,0,0
Igsf21_B,4,140.136815,Pygb_B,2,150.809246,NA,NA,NA,-1.07704353664666,0.13693436955056,7.86539960845247,0,0
Kcnk3_B,5,30.60672,Mrpl19_B,6,81.961904,NA,NA,NA,-0.97717940772297,0.124287725119386,7.86223584657559,0,0
Sgce_B,6,4.710777,Usp11_B,20,20.712222,NA,NA,NA,-1.13297758457615,0.144460590001157,7.84281432442631,0,0
Sgce_B,6,4.710777,Nudt11_B,20,6.051282,NA,NA,NA,-1.16969553045273,0.149812146053996,7.80774831188349,0,0
Exosc8_B,3,54.732036,Med19_B,2,84.683308,NA,NA,NA,-1.01859114804756,0.130637770850611,7.7970646729142,0,0
Nudt11_B,20,6.051282,Med19_B,2,84.683308,NA,NA,NA,-1.06214550184439,0.136651397105444,7.77266478311092,0,0
Mamld1_B,20,71.103156,Rad9a_B,19,4.1984,NA,NA,NA,-0.958388544385645,0.123344525458871,7.77001282237871,0,0
Irx2_B,13,72.631508,Usp11_B,20,20.712222,NA,NA,NA,-1.05129197777939,0.135345866182519,7.76744800141648,0,0
Adam1a_B,5,121.520136,Exosc8_B,3,54.732036,NA,NA,NA,-1.03822874196634,0.133869300681824,7.7555401923998,0,0
Igsf21_B,4,140.136815,Dgcr8_B,16,18.271598,NA,NA,NA,-1.0236002101829,0.132102373796197,7.74853759828779,0,0
Dgcr8_B,16,18.271598,Rad9a_B,19,4.1984,NA,NA,NA,-1.1231010589822,0.144944051762278,7.74851430829457,0,0
Arx_B,20,93.292432,Mrpl19_B,6,81.961904,NA,NA,NA,-0.976198519737966,0.126318020315753,7.72810179654332,0,0
Peg10_B,6,4.753912,Med19_B,2,84.683308,NA,NA,NA,-1.14848468374418,0.148631178512011,7.7270778260792,0,0
Gcg_B,2,62.47909,Smad9_B,3,54.77842,NA,NA,NA,-1.01273153046178,0.131131797757119,7.72300500552544,0,0
Gcg_B,2,62.47909,Med19_B,2,84.683308,NA,NA,NA,-1.043607570242,0.13524421038444,7.7164676201331,0,0
Arx_B,20,93.292432,St8sia2_B,7,73.9764,NA,NA,NA,-1.12096358398899,0.145270562829372,7.71638494514282,0,0
Peg10_B,6,4.753912,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.1562244274724,0.149846895605911,7.7160385792256,0,0
Ugt8a_B,3,125.901954,Rad9a_B,19,4.1984,NA,NA,NA,-1.08270450505834,0.140378831547017,7.71273341661709,0,0
Irx2_B,13,72.631508,Mrpl19_B,6,81.961904,NA,NA,NA,-1.06510084810629,0.138576520195732,7.68601236776542,0,0
Arx_B,20,93.292432,Med19_B,2,84.683308,NA,NA,NA,-1.0282837209829,0.133812346949473,7.68452048278606,0,0
Irx2_B,13,72.631508,Kcnd3_B,3,105.563166,NA,NA,NA,-1.23187176059294,0.160335645917041,7.68308103633,0,0
Mafb_B,2,160.365371,Mrpl19_B,6,81.961904,NA,NA,NA,-0.936316122497703,0.121988107680317,7.67547050530057,0,0
Mamld1_B,20,71.103156,Med19_B,2,84.683308,NA,NA,NA,-0.983345624496609,0.128139681647243,7.67401332558068,0,0
Arx_B,20,93.292432,Adam1a_B,5,121.520136,NA,NA,NA,-1.11529755951589,0.1453466581357,7.67336224871861,0,0
Igsf21_B,4,140.136815,Nudt11_B,20,6.051282,NA,NA,NA,-1.04549552733784,0.136250976372832,7.67330668131864,0,0
Mafb_B,2,160.365371,Nudt11_B,20,6.051282,NA,NA,NA,-0.93903551424795,0.122570712783678,7.66117364353775,0,0
Dnajc11_B,4,151.957914,Pygb_B,2,150.809246,NA,NA,NA,-1.09425242165394,0.142977079850791,7.65334152016454,0,0
Fam46d_B,20,107.83275,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.09522055410435,0.143635628060731,7.6249922730959,0,0
Pwp2_B,10,78.17803,Mrpl19_B,6,81.961904,NA,NA,NA,-1.11210831690486,0.145923903646043,7.62115245767013,0,0
Adam1a_B,5,121.520136,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.09539657937828,0.144014258025941,7.60616757252583,0,0
Arx_B,20,93.292432,Usp11_B,20,20.712222,NA,NA,NA,-1.02820803681391,0.135248606867111,7.60235584403601,0,0
Mafb_B,2,160.365371,Exosc8_B,3,54.732036,NA,NA,NA,-0.969718624119249,0.127633379948712,7.59768819496059,0,0
Smad9_B,3,54.77842,Med19_B,2,84.683308,NA,NA,NA,-1.10739440955209,0.146164696370585,7.57634666270171,0,0
Adam1a_B,5,121.520136,Mrpl19_B,6,81.961904,NA,NA,NA,-1.06249018839015,0.140464139181367,7.5641383956247,0,0
Sgce_B,6,4.710777,Mrpl19_B,6,81.961904,NA,NA,NA,-1.1473872343457,0.151776921144317,7.55969501617909,0,0
Gcg_B,2,62.47909,Mrpl19_B,6,81.961904,NA,NA,NA,-1.03328466797331,0.136995837343938,7.54245302635856,0,0
Arx_B,20,93.292432,Mlst8_B,17,24.476314,NA,NA,NA,-0.951297978077283,0.126223061147022,7.53664163610508,0,0
Irx2_B,13,72.631508,Nudt11_B,20,6.051282,NA,NA,NA,-1.10105369492178,0.146249084686387,7.5286193912451,0,0
Adam1a_B,5,121.520136,Galnt13_B,2,54.777313,NA,NA,NA,-1.03753192499008,0.138074047657274,7.51431527208814,0,0
Mafb_B,2,160.365371,Pygb_B,2,150.809246,NA,NA,NA,-0.967372521341015,0.129360925507442,7.47808905623022,0,0
Sgce_B,6,4.710777,Kcnd3_B,3,105.563166,NA,NA,NA,-1.2951845546306,0.173342563548582,7.47182070067635,0,0
Mafb_B,2,160.365371,Kcnd3_B,3,105.563166,NA,NA,NA,-1.04589852772864,0.140231977723288,7.4583454124312,0,0
Igsf21_B,4,140.136815,Polr1b_B,2,129.113794,NA,NA,NA,-1.07717761982865,0.144515064819569,7.45373931204706,0,0
Exosc8_B,3,54.732036,Rad9a_B,19,4.1984,NA,NA,NA,-0.994385720929627,0.133449082666312,7.4514241766358,0,0
Irx2_B,13,72.631508,Dnajc11_B,4,151.957914,NA,NA,NA,-0.949970229461864,0.127789017805647,7.43389569600311,0,0
Pygb_B,2,150.809246,Champ1_B,8,13.87564,NA,NA,NA,-0.958174258533186,0.128905955727843,7.4331263681576,0,0
Irx2_B,13,72.631508,Pygb_B,2,150.809246,NA,NA,NA,-1.10319728899243,0.148848069756708,7.41156597324779,0,0
2610035D17Rik_B,11,113.122866,Med19_B,2,84.683308,NA,NA,NA,-1.17040407113259,0.158037095676005,7.40588192997459,0,0
Peg10_B,6,4.753912,Pygb_B,2,150.809246,NA,NA,NA,-1.1692823616751,0.158264883172118,7.38813524667673,0,0
Gcg_B,2,62.47909,Usp11_B,20,20.712222,NA,NA,NA,-1.0437801858758,0.141808134066541,7.36050997882833,0,0
Mamld1_B,20,71.103156,Mrpl19_B,6,81.961904,NA,NA,NA,-0.971110607957417,0.132102012730498,7.35121735002316,0,0
Mafb_B,2,160.365371,Usp11_B,20,20.712222,NA,NA,NA,-0.967572424608526,0.13180781376027,7.3407819840509,0,0
Arx_B,20,93.292432,Nudt11_B,20,6.051282,NA,NA,NA,-1.09297144860417,0.149001189463987,7.33532029197886,0,0
Peg10_B,6,4.753912,Smad9_B,3,54.77842,NA,NA,NA,-1.0582597750625,0.144321977717496,7.33263077321458,0,0
Fam46d_B,20,107.83275,Usp11_B,20,20.712222,NA,NA,NA,-1.05174111468608,0.143727645772469,7.31759787084428,0,0
Nup205_B,6,35.21251,Gm16487_B,11,113.469996,NA,NA,NA,-1.62566542338289,0.222602627203335,7.30299297814637,0,0
Gcg_B,2,62.47909,Gart_B,16,91.634069,NA,NA,NA,-1.1017783494593,0.150904496569113,7.30116314959969,0,0
Miat_B,5,112.221312,Rad9a_B,19,4.1984,NA,NA,NA,-1.0255203208314,0.140546270792117,7.29667400672804,0,0
Dgcr8_B,16,18.271598,2610035D17Rik_B,11,113.122866,NA,NA,NA,-0.934512918383833,0.128446604910917,7.27549723117988,0,0
Sgce_B,6,4.710777,Nop56_B,2,130.276872,NA,NA,NA,-1.12126656413388,0.154262380434469,7.26856775434109,0,0
Igsf21_B,4,140.136815,Mctp2_B,7,72.192214,NA,NA,NA,-1.19512303310658,0.164512690350786,7.26462518215617,0,0
Exosc8_B,3,54.732036,Polr1b_B,2,129.113794,NA,NA,NA,-1.01342720001353,0.139685998702125,7.25503779498062,0,0
Igsf21_B,4,140.136815,Med19_B,2,84.683308,NA,NA,NA,-1.00033047293917,0.138002179750697,7.24865704836171,0,0
Igsf21_B,4,140.136815,Nup205_B,6,35.21251,NA,NA,NA,-1.07981550909067,0.14900879878076,7.24665602250392,0,0
Igsf21_B,4,140.136815,Exosc8_B,3,54.732036,NA,NA,NA,-1.05561470178902,0.146171052087071,7.22177672471163,0,0
Pwp2_B,10,78.17803,Med19_B,2,84.683308,NA,NA,NA,-1.15159189210418,0.15952403298363,7.21892413679357,0,0
Pwp2_B,10,78.17803,Pygb_B,2,150.809246,NA,NA,NA,-1.16376564449496,0.161276679151598,7.21595738836509,0,0
Gcg_B,2,62.47909,Pygb_B,2,150.809246,NA,NA,NA,-1.08382519809394,0.150214193305145,7.21519833942894,0,0
Emc8_B,8,120.661244,2610035D17Rik_B,11,113.122866,NA,NA,NA,-0.808062342157107,0.112027645462899,7.21306190822978,0,0
Dgcr8_B,16,18.271598,Galnt13_B,2,54.777313,NA,NA,NA,-1.08513306086567,0.150831340797172,7.19434737588712,0,0
Kcnk3_B,5,30.60672,Champ1_B,8,13.87564,NA,NA,NA,-0.887023056217177,0.123296721133304,7.19421447759474,0,0
Arx_B,20,93.292432,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.1026696186447,0.153319561422359,7.19196955962525,0,0
Gart_B,16,91.634069,Rad9a_B,19,4.1984,NA,NA,NA,-1.0088591500992,0.140284874486892,7.19150338758343,0,0
Igsf21_B,4,140.136815,Kcnd3_B,3,105.563166,NA,NA,NA,-1.14694049328985,0.159743421855429,7.17989185387461,0,0
Irx2_B,13,72.631508,Mlst8_B,17,24.476314,NA,NA,NA,-0.957589215554319,0.133451628863918,7.17555284792202,0,0
Sgce_B,6,4.710777,Exosc8_B,3,54.732036,NA,NA,NA,-1.27351247482579,0.17759947268447,7.17069963990468,0,0
Nop56_B,2,130.276872,Rad9a_B,19,4.1984,NA,NA,NA,-1.08368187718266,0.151256084534244,7.16455063953025,0,0
Irx2_B,13,72.631508,Mamld1_B,20,71.103156,NA,NA,NA,-1.4098751217546,0.197416999878767,7.1416094997918,0,0
Irx2_B,13,72.631508,2610035D17Rik_B,11,113.122866,NA,NA,NA,-1.04660807396121,0.146554273460647,7.14143674726924,0,0
Arx_B,20,93.292432,Pygb_B,2,150.809246,NA,NA,NA,-1.10446425935022,0.154731181716708,7.13795530478366,0,0
Igsf21_B,4,140.136815,Mlst8_B,17,24.476314,NA,NA,NA,-0.949834128788491,0.133099994614126,7.13624468236969,0,0
2610035D17Rik_B,11,113.122866,Mrpl19_B,6,81.961904,NA,NA,NA,-1.19769673825871,0.168578687302457,7.10467472148393,0,0
Usp11_B,20,20.712222,Champ1_B,8,13.87564,NA,NA,NA,-1.03907857822458,0.146298404462485,7.10246008520912,0,0
Igsf21_B,4,140.136815,Usp11_B,20,20.712222,NA,NA,NA,-1.02250012192686,0.144722227930783,7.06525968088258,0,0
Polr1b_B,2,129.113794,Mrpl19_B,6,81.961904,NA,NA,NA,-0.9573325100935,0.135512786069251,7.06451795334113,0,0
Fgf14_B,14,124.327517,Polr1b_B,2,129.113794,NA,NA,NA,-0.997559675433313,0.141781575957995,7.03589072623128,0,0
Igsf21_B,4,140.136815,2610035D17Rik_B,11,113.122866,NA,NA,NA,-0.968712798926967,0.138137107367298,7.01269063316361,0,0
Igsf21_B,4,140.136815,Galnt13_B,2,54.777313,NA,NA,NA,-1.13821744389454,0.162696813854238,6.99594181920663,0,0
Fgf14_B,14,124.327517,Smad9_B,3,54.77842,NA,NA,NA,-0.925732685969393,0.132389291399087,6.99250427422242,0,0
Fam46d_B,20,107.83275,Gart_B,16,91.634069,NA,NA,NA,-1.00288621571245,0.143425545203487,6.99238210522115,0,0
Gcg_B,2,62.47909,Kcnd3_B,3,105.563166,NA,NA,NA,-1.13667120147674,0.162959001893538,6.97519737031363,0,0
Ugt8a_B,3,125.901954,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.08462878072774,0.155551051425513,6.97281548911371,0,0
Dnajc11_B,4,151.957914,2610035D17Rik_B,11,113.122866,NA,NA,NA,-0.916029617329353,0.13143439233663,6.96948189164383,0,0
Clptm1l_B,13,73.61232,Crebrf_B,17,26.746142,NA,NA,NA,-0.874738582796673,0.125977636603698,6.94360210573275,0,0
Emc8_B,8,120.661244,Pygb_B,2,150.809246,NA,NA,NA,-0.907088312391089,0.130758957918744,6.93710264160082,0,0
Gart_B,16,91.634069,Mrpl19_B,6,81.961904,NA,NA,NA,-0.940813250324395,0.135658403064252,6.93516383116199,0,0
Arx_B,20,93.292432,2610035D17Rik_B,11,113.122866,NA,NA,NA,-1.01520679938684,0.146471142761918,6.9311045182259,0,0
Fam46d_B,20,107.83275,Polr1b_B,2,129.113794,NA,NA,NA,-1.02674012913299,0.148191359327567,6.92847500550589,0,0
Igsf21_B,4,140.136815,Fgf14_B,14,124.327517,NA,NA,NA,-1.19509288643229,0.172500121486149,6.92806982474068,0,0
Mctp2_B,7,72.192214,Med19_B,2,84.683308,NA,NA,NA,-1.01347127301359,0.146324378068925,6.92619566464996,0,0
Fgf14_B,14,124.327517,Gart_B,16,91.634069,NA,NA,NA,-0.944405425623622,0.136460440367503,6.92072679144398,0,0
Adam1a_B,5,121.520136,Klhl13_B,20,23.292176,NA,NA,NA,-1.01127897291012,0.146461853667884,6.90472602650032,0,0
Klhl13_B,20,23.292176,Mrpl19_B,6,81.961904,NA,NA,NA,-0.967643619589089,0.140271680706553,6.89835335767731,0,0
Arx_B,20,93.292432,Nup205_B,6,35.21251,NA,NA,NA,-1.11394811136908,0.161896120328119,6.88063499675849,0,0
Anp32e_B,3,95.938318,Rad9a_B,19,4.1984,NA,NA,NA,-1.28697611681605,0.187204586707498,6.8747039773492,0,0
Adam1a_B,5,121.520136,Nudt11_B,20,6.051282,NA,NA,NA,-1.06157578122477,0.154874835334531,6.85441104057839,0,0
Clptm1l_B,13,73.61232,Ypel4_B,2,84.736356,NA,NA,NA,-0.828562932225164,0.121291884585278,6.83114896811268,0,0
Fam46d_B,20,107.83275,Nudt11_B,20,6.051282,NA,NA,NA,-1.0700705037359,0.156855751629754,6.82200360916136,0,0
Gart_B,16,91.634069,Mafb_B,2,160.365371,NA,NA,NA,-1.05960561125872,0.155421859990407,6.81760989943192,0,0
Galnt13_B,2,54.777313,Med19_B,2,84.683308,NA,NA,NA,-0.977455488920287,0.143380177400661,6.81722889900526,0,0
Dnajc11_B,4,151.957914,Med19_B,2,84.683308,NA,NA,NA,-1.12272765983681,0.164832171447994,6.8113381627751,0,0
Rad9a_B,19,4.1984,Champ1_B,8,13.87564,NA,NA,NA,-0.955593005928476,0.140454226063086,6.80359027074959,0,0
Smad9_B,3,54.77842,Usp11_B,20,20.712222,NA,NA,NA,-1.01481260990766,0.150019981359596,6.76451630449925,0,0
Mafb_B,2,160.365371,Nup205_B,6,35.21251,NA,NA,NA,-0.988884158504231,0.146223477571203,6.76282752215832,0,0
Anp32e_B,3,95.938318,Med19_B,2,84.683308,NA,NA,NA,-1.26435103077478,0.187244398516686,6.7524104367913,0,0
Smad9_B,3,54.77842,Mrpl19_B,6,81.961904,NA,NA,NA,-1.04393969018609,0.154674461564012,6.74926991586168,0,0
Exosc8_B,3,54.732036,Mrpl19_B,6,81.961904,NA,NA,NA,-1.05234423362439,0.155925949578735,6.74899999947095,0,0
Pygb_B,2,150.809246,Mrpl19_B,6,81.961904,NA,NA,NA,-1.01166990994126,0.149978236663535,6.74544475550053,0,0
Irx2_B,13,72.631508,Mctp2_B,7,72.192214,NA,NA,NA,-1.30449280613562,0.193440267071618,6.74364663512718,0,0
Irx2_B,13,72.631508,Anp32e_B,3,95.938318,NA,NA,NA,-0.855582392416135,0.126889370457352,6.74274282654511,0,0
Mafb_B,2,160.365371,Polr1b_B,2,129.113794,NA,NA,NA,-0.980528192724487,0.145553394017777,6.73655327202285,0,0
Dgcr8_B,16,18.271598,Mctp2_B,7,72.192214,NA,NA,NA,-1.11228313623287,0.165130944350863,6.7357643996121,0,0
Ugt8a_B,3,125.901954,Gart_B,16,91.634069,NA,NA,NA,-0.995974839336048,0.147876459651024,6.73518179760636,0,0
Mamld1_B,20,71.103156,Wdr4_B,17,31.507148,NA,NA,NA,-0.955752295710338,0.142149557322395,6.72356856900154,0,0
Arx_B,20,93.292432,Anp32e_B,3,95.938318,NA,NA,NA,-0.847084083284616,0.126022963532315,6.72166452479437,0,0
Mctp2_B,7,72.192214,Gart_B,16,91.634069,NA,NA,NA,-0.995694256927369,0.148268826754447,6.71546594603039,0,0
Mamld1_B,20,71.103156,Champ1_B,8,13.87564,NA,NA,NA,-0.901872988599411,0.134318145723359,6.71445383453181,0,0
Nop56_B,2,130.276872,Med19_B,2,84.683308,NA,NA,NA,-1.12017098650937,0.166831845128394,6.7143715017195,0,0
Pygb_B,2,150.809246,Med19_B,2,84.683308,NA,NA,NA,-1.04944849339951,0.156462363772173,6.7073542039006,0,0
Kcnd3_B,3,105.563166,Rad9a_B,19,4.1984,NA,NA,NA,-0.911719766660495,0.136065003282706,6.70061915014392,0,0
Fgf14_B,14,124.327517,Pygb_B,2,150.809246,NA,NA,NA,-1.00866730439246,0.150592290863692,6.69800093090722,0,0
Arx_B,20,93.292432,Dgcr8_B,16,18.271598,NA,NA,NA,-1.0978213862775,0.164038446310683,6.69246393737639,0,0
Sgce_B,6,4.710777,Anp32e_B,3,95.938318,NA,NA,NA,-1.0006494076091,0.149826433801078,6.67872405571399,0,0
Anp32e_B,3,95.938318,Champ1_B,8,13.87564,NA,NA,NA,-1.05640659891026,0.158180149204557,6.67850298676938,0,0
Scin_B,12,40.096998,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.11567185742966,0.16709756455536,6.67676911030043,0,0
Anp32e_B,3,95.938318,Mrpl19_B,6,81.961904,NA,NA,NA,-1.28022782129162,0.191750934156094,6.67651412977971,0,0
St8sia2_B,7,73.9764,Mlst8_B,17,24.476314,NA,NA,NA,-1.11239376250913,0.166668435418735,6.67429174405082,0,0
Mafb_B,2,160.365371,Dnajc11_B,4,151.957914,NA,NA,NA,-0.852513839328481,0.127801731173738,6.67059695904702,0,0
Emc8_B,8,120.661244,Rad9a_B,19,4.1984,NA,NA,NA,-1.01385599668381,0.152043533705141,6.6681954304613,0,0
Nudt11_B,20,6.051282,Champ1_B,8,13.87564,NA,NA,NA,-0.889686761239102,0.133432672350288,6.66768300123296,0,0
Igsf21_B,4,140.136815,Champ1_B,8,13.87564,NA,NA,NA,-0.889311931046528,0.133417778720903,6.6656178777109,0,0
Peg10_B,6,4.753912,Usp11_B,20,20.712222,NA,NA,NA,-1.11554176695539,0.167879062337233,6.64491301907862,0,0
Ruvbl1_B,6,88.48149,Champ1_B,8,13.87564,NA,NA,NA,-0.884995215488443,0.133239784662596,6.6421243304282,0,0
Ugt8a_B,3,125.901954,Exosc8_B,3,54.732036,NA,NA,NA,-1.07754772508874,0.16239145250369,6.63549533226975,0,0
Irx2_B,13,72.631508,Champ1_B,8,13.87564,NA,NA,NA,-0.876879907656075,0.132616682428655,6.61213877166486,0,0
Sgce_B,6,4.710777,2610035D17Rik_B,11,113.122866,NA,NA,NA,-1.15176939988921,0.174243724575198,6.61010548699642,0,0
Mamld1_B,20,71.103156,Polr1b_B,2,129.113794,NA,NA,NA,-0.998587968586601,0.151226124981521,6.60327683929363,0,0
Dgcr8_B,16,18.271598,Med19_B,2,84.683308,NA,NA,NA,-1.07630053576849,0.163522478539318,6.58197298244657,0,0
Ruvbl1_B,6,88.48149,Mrpl19_B,6,81.961904,NA,NA,NA,-1.02691780711201,0.156036621994735,6.58126146275238,0,0
